customer_id,age,gender,subscription_type,monthly_fee,subscription_months,login_frequency,session_duration,support_tickets,payment_failures,last_active_days,customer_satisfaction,feature_usage_score,referrals,engagement_score,churn
100000,56,Female,Premium,40.11,30,4,18.21,0,1,18,8.7,82.4,2,46.1,1
100001,69,Male,Standard,19.869999999999997,39,10,14.3,1,1,13,8.2,76.0,1,45.8,0
100002,46,Male,Standard,22.88,15,6,8.15,1,0,16,8.3,84.8,1,45.9,0
100003,32,Female,Basic,13.120000000000001,46,2,4.04,0,0,22,8.4,70.4,1,39.4,0
100004,60,Male,Standard,19.709999999999997,58,7,20.25,1,1,6,2.7,64.7,0,30.6,1
100005,25,Male,Standard,20.47,35,12,15.38,2,0,15,5.6,76.7,2,41.9,0
100006,38,Female,Standard,20.15,5,3,16.24,2,2,5,7.2,0.0,2,17.7,1
100007,56,Male,Standard,16.77,6,7,1.96,2,0,7,8.2,63.6,1,39.2,0
100008,36,Female,Basic,9.32,25,6,7.58,0,0,23,4.7,100.0,1,43.2,0
100009,40,Female,Premium,43.190000000000005,11,6,67.49,1,1,27,8.6,55.8,0,44.4,0
100010,28,Male,Premium,38.49,51,8,24.28,2,0,1,6.1,84.7,2,44.3,0
100011,28,Female,Basic,14.22,22,9,26.45,5,0,22,6.6,55.1,2,37.2,1
100012,41,Male,Premium,42.33,59,2,10.73,1,0,6,7.4,50.0,0,32.0,1
100013,53,Male,Basic,10.790000000000001,34,12,25.94,1,0,21,7.4,49.9,0,38.7,0
100014,57,Male,Standard,21.11,57,7,15.35,0,0,13,8.2,81.3,0,46.0,0
100015,41,Male,Basic,8.16,44,11,25.8,1,0,26,5.7,60.6,0,37.9,0
100016,20,Female,Premium,39.46,57,7,25.32,0,1,2,10.0,43.5,2,39.4,0
100017,39,Male,Basic,12.870000000000001,55,16,2.47,0,0,27,10.0,71.7,0,49.8,0
100018,19,Male,Standard,18.759999999999998,14,9,10.31,1,0,11,7.0,67.4,0,39.9,0
100019,41,Male,Standard,22.11,59,7,23.66,2,2,38,6.0,37.2,0,29.3,1
100020,61,Female,Basic,7.24,9,11,1.74,2,1,2,5.8,30.6,1,26.5,0
100021,47,Female,Standard,17.59,20,11,30.29,0,0,1,8.7,68.3,1,46.8,0
100022,55,Male,Basic,13.79,16,7,6.71,0,0,18,8.5,55.2,1,37.8,0
100023,19,Male,Standard,19.97,58,8,30.57,1,0,0,8.2,44.7,0,37.2,0
100024,38,Male,Premium,38.910000000000004,17,9,11.91,1,1,19,5.6,56.9,1,34.1,0
100025,50,Male,Premium,42.72,17,9,52.81,1,1,3,4.8,69.3,0,40.8,0
100026,29,Female,Premium,42.480000000000004,34,7,25.08,1,0,17,4.8,2.7,1,16.7,1
100027,39,Female,Basic,11.83,42,7,4.01,2,0,28,5.7,47.9,1,29.7,0
100028,61,Male,Basic,8.85,11,4,23.29,0,1,0,4.4,64.0,1,32.6,1
100029,42,Male,Standard,19.419999999999998,35,7,17.38,1,0,6,4.7,83.5,2,39.9,0
100030,66,Male,Basic,10.61,34,4,10.9,1,2,12,5.3,53.8,1,30.0,1
100031,44,Female,Premium,41.38,36,5,27.67,1,0,15,5.0,88.2,1,42.0,0
100032,59,Male,Basic,8.97,8,10,8.04,2,0,24,6.5,92.3,1,46.6,0
100033,45,Other,Premium,40.330000000000005,19,7,1.76,6,0,17,6.4,66.0,1,36.3,1
100034,33,Female,Basic,10.52,52,10,14.77,0,1,2,7.6,52.2,1,37.5,0
